Dates;PX_LAST;PX_BID;PX_ASK
02.09.2015;82,6;82,3;82,9
03.09.2015;82;81,75;82,25
04.09.2015;83,501;83,261;83,74
08.09.2015;79,3;78,9;79,7
09.09.2015;80,951;80,728;81,173
10.09.2015;79,775;79,566;79,985
11.09.2015;79,6;79,35;79,85
14.09.2015;79,715;79,509;79,922
15.09.2015;78,85;78,65;79,05
16.09.2015;77,25;77;77,5
17.09.2015;76,906;76,712;77,1
18.09.2015;78,251;78,027;78,474
21.09.2015;81,25;81;81,5
22.09.2015;83,15;82,8;83,5
23.09.2015;84,308;84,008;84,608
24.09.2015;86,078;85,804;86,353
25.09.2015;88,375;88;88,75
28.09.2015;92,524;92,274;92,774
29.09.2015;92,826;92,585;93,066
30.09.2015;93,6;93,2;94
01.10.2015;94,35;94,15;94,55
02.10.2015;92,501;92,275;92,726
05.10.2015;87,25;86,95;87,55
06.10.2015;88,133;87,8;88,466
07.10.2015;83,85;83,55;84,15
08.10.2015;81,85;81,387;82,313
09.10.2015;81,6;81,217;81,983
13.10.2015;83,967;83,534;84,4
14.10.2015;85,65;85,4;85,9
15.10.2015;82,832;82,587;83,077
16.10.2015;81,333;81,083;81,583
19.10.2015;80,05;79,794;80,307
20.10.2015;81,209;80,966;81,452
21.10.2015;82,363;82,021;82,705
22.10.2015;80,085;79,774;80,395
23.10.2015;77,268;76,999;77,537
26.10.2015;77,816;77,598;78,035
27.10.2015;78,277;77,811;78,744
28.10.2015;77,316;76,983;77,649
29.10.2015;78,547;78,315;78,778
30.10.2015;78,887;78,588;79,187
02.11.2015;76,566;76,217;76,916
03.11.2015;75,581;75,263;75,9
04.11.2015;77,599;77,32;77,878
05.11.2015;78,26;77,885;78,634
06.11.2015;79,388;79,076;79,7
09.11.2015;81,052;80,74;81,364
10.11.2015;81,05;80,795;81,305
12.11.2015;83,378;83,122;83,634
13.11.2015;85,655;85,332;85,978
16.11.2015;83,016;82,642;83,391
17.11.2015;83,393;83,102;83,685
18.11.2015;81,889;81,428;82,35
19.11.2015;84,893;84,519;85,268
20.11.2015;84,557;84,258;84,855
23.11.2015;84,942;84,647;85,237
24.11.2015;85,253;84,915;85,59
25.11.2015;84,535;84,179;84,891
27.11.2015;84,537;84,185;84,89
30.11.2015;83,969;83,738;84,2
01.12.2015;80,55;80,134;80,966
02.12.2015;82,208;81,88;82,537
03.12.2015;83,482;83,171;83,794
04.12.2015;81,965;81,672;82,259
07.12.2015;83,474;83,193;83,755
08.12.2015;86,021;85,696;86,346
09.12.2015;85,98;85,672;86,289
10.12.2015;87,844;87,526;88,163
11.12.2015;96,325;95,769;96,881
14.12.2015;92,708;92,29;93,127
15.12.2015;90,545;90,072;91,018
16.12.2015;89,463;89,06;89,866
17.12.2015;94,419;94;94,838
18.12.2015;95,251;94,848;95,655
21.12.2015;95,088;94,719;95,456
22.12.2015;92,396;92,047;92,746
23.12.2015;89,959;89,528;90,39
24.12.2015;89,705;89,205;90,205
28.12.2015;90,538;90,082;90,994
29.12.2015;88,422;87,994;88,85
30.12.2015;88,428;88,035;88,822
31.12.2015;88,244;87,682;88,807
04.01.2016;90,503;90,162;90,844
05.01.2016;90,581;90,2;90,962
06.01.2016;92,702;92,318;93,087
07.01.2016;96,07;95,595;96,544
08.01.2016;98,652;98,021;99,283
11.01.2016;98,352;98,032;98,671
12.01.2016;98,706;98,414;98,999
13.01.2016;104,708;104,239;105,176
14.01.2016;103,685;103,224;104,146
15.01.2016;109,992;109,44;110,543
19.01.2016;110,452;110,054;110,851
20.01.2016;110,868;110,524;111,213
21.01.2016;108,587;108,071;109,102
22.01.2016;104,094;103,61;104,578
25.01.2016;106,757;106,336;107,179
